0,0,8,1,1,1,0,0,9,
1,1,16,0,0,7,1,1,17,
0,0,24,1,1,15,0,0,25,
1,1,32,0,0,23,1,1,33,
0,0,40,1,1,31,0,0,41,
1,1,48,0,0,39,1,1,49,
0,0,56,1,1,47,0,0,57,
1,1,64,0,0,55,1,1,65,
0,0,81,1,1,72,0,0,73,
5427,29595,20316,0,0,34499,6237,25968,21534,
0,0,11594,4617,30468,11603,0,0,16527,
2997,21846,17310,0,0,14502,3807,26400,13205,
0,0,15183,2916,18912,12699,0,0,21009,
2088,29226,12476,0,0,14762,2169,22116,12159,
0,0,6492,1944,25581,7293,0,0,11810,
5427,29595,5835,0,0,4899,6237,25968,7959,
0,0,932,4617,30468,671,0,0,2316,
2997,21846,23739,0,0,23271,3807,26400,1193,
27653,87206,255109,0,0,38898,214682,86276,351,
0,0,1111,92858,197682,112575,0,0,50919,
256802,188463,156812,0,0,249036,137651,155071,114961,
0,0,238347,65399,63173,228783,0,0,8318,
233017,46628,213281,0,0,175829,83544,108548,139458,
0,0,248287,21606,163047,17994,0,0,159309,
27653,87206,253362,0,0,249556,214682,86276,170534,
0,0,152124,92858,197682,84327,0,0,192019,
256802,188463,140521,0,0,58720,137651,155071,88377,
13779,31987,16692,0,0,29435,16461,29080,20910,
0,0,11570,11097,30196,11795,0,0,16143,
5733,24022,10902,0,0,9390,8415,29296,12965,
0,0,9207,8964,20368,7587,0,0,13305,
10024,27098,4940,0,0,6578,6793,19412,7263,
0,0,2628,12744,29413,2349,0,0,4922,
13779,31987,1491,0,0,1203,16461,29080,3231,
0,0,188,11097,30196,143,0,0,1212,
5733,24022,24627,0,0,23727,8415,29296,233,
251205,173934,24013,0,0,67026,76154,239860,139487,
0,0,32559,114674,220274,132711,0,0,195311,
52754,253207,251628,0,0,196188,61115,174383,104937,
0,0,152147,120695,182773,55343,0,0,182462,
226513,134796,175321,0,0,28413,54864,78708,178914,
0,0,102767,87702,126343,133970,0,0,78877,
251205,173934,227738,0,0,197228,76154,239860,170870,
0,0,26500,114674,220274,21991,0,0,224795,
52754,253207,70889,0,0,127112,61115,174383,19993,
3942,33174,29780,0,0,36753,4014,32753,27326,
0,0,18282,3870,33289,18283,0,0,29359,
3726,32367,23862,0,0,23550,3798,32855,18461,
0,0,14919,3735,32059,14643,0,0,24273,
3591,33153,15260,0,0,15514,3663,32426,14583,
0,0,8164,3519,32692,8253,0,0,15186,
3942,33174,5123,0,0,5019,4014,32753,8327,
0,0,876,3870,33289,847,0,0,4732,
3726,32367,27571,0,0,27519,3798,32855,905,
205220,56549,230166,0,0,261137,46694,257214,145430,
0,0,90128,209273,45172,30839,0,0,163636,
132306,98544,190210,0,0,125490,241069,149635,8088,
0,0,200239,170960,156262,136206,0,0,119953,
225152,23695,8856,0,0,165994,6189,1634,96272,
0,0,123209,1979,56882,242461,0,0,108277,
205220,56549,210193,0,0,13463,46694,257214,114550,
0,0,202028,209273,45172,256899,0,0,162982,
132306,98544,81258,0,0,145805,241069,149635,182914,
1702,22982,9224,0,0,34887,1736,23556,8098,
0,0,14623,1668,24244,14276,0,0,9443,
1708,23933,18452,0,0,18070,1742,24507,14970,
0,0,21282,1674,23359,20802,0,0,18834,
1804,24335,22275,0,0,22096,1658,23595,21366,
0,0,22434,1770,24130,23177,0,0,21194,
1702,22982,23981,0,0,24821,1736,23556,22195,
0,0,132,1668,24244,127,0,0,24518,
1708,23933,8727,0,0,8564,1742,24507,137,
185670,177030,166088,0,0,204135,92312,117283,85166,
0,0,123982,208568,183785,259203,0,0,26336,
102372,218182,217954,0,0,28404,70040,234755,199782,
0,0,219377,154448,27278,91139,0,0,244550,
179974,138008,33458,0,0,22958,240688,171694,140471,
0,0,234,232196,82388,100356,0,0,242782,
185670,177030,68865,0,0,26409,92312,117283,116744,
0,0,97608,208568,183785,105636,0,0,249085,
102372,218182,228692,0,0,172079,70040,234755,93226,
