0,7,1,1,1,0,0,8,
1,14,0,6,1,1,1,15,
1,21,1,13,0,5,1,22,
0,28,1,20,1,12,0,29,
1,35,0,27,1,19,1,36,
1,42,1,34,0,26,1,43,
0,49,1,41,1,33,0,50,
1,64,0,56,1,48,1,57,
6594,6764,0,0,4657,15084,5362,9589,
4513,8124,5266,7180,0,0,5641,7340,
0,9744,5049,7968,3938,6832,0,10284,
5362,7193,0,8417,4433,6825,6642,8128,
1120,6027,4546,4867,0,5947,3353,7697,
0,1105,5785,2665,6690,2113,0,4499,
6594,508,0,364,4657,220,5362,1657,
4513,11037,5266,12229,0,13229,5641,652,
15855,62118,0,0,22524,200422,73703,132707,
220444,75275,256183,207523,0,0,69580,85270,
0,170320,5228,20320,248127,156144,0,207923,
183623,71201,0,126969,10364,138513,235911,199744,
132808,112373,1039,235437,0,58661,74756,160009,
0,193204,79724,186948,141727,89428,0,199101,
15855,83247,0,101463,22524,81599,73703,204388,
220444,51051,256183,235635,0,35387,69580,103111,
10969,7478,0,0,7513,17142,9345,10317,
4569,6416,8689,5920,0,0,6201,7942,
0,6104,3705,4888,6409,4312,0,8128,
5775,3063,0,4175,5721,3367,7713,4824,
5628,2135,7143,1647,0,2503,4431,3679,
0,685,9145,789,11625,573,0,1727,
10969,130,0,98,7513,66,9345,901,
4569,12549,8689,12733,0,11829,6201,162,
203890,180408,0,0,215383,43466,141506,168565,
217127,161771,107362,135987,0,0,159903,184696,
0,18578,194671,258290,19282,209874,0,4835,
82557,176829,0,232885,244215,233837,243842,169010,
3769,50231,95085,32559,0,59239,50698,189701,
0,78510,203983,75614,211154,63886,0,49983,
203890,5071,0,7607,215383,6111,141506,70206,
217127,245389,107362,242085,0,205309,159903,6567,
7479,12413,0,0,3112,15309,7309,14944,
2984,11946,7329,11828,0,0,3048,12485,
0,10122,2920,9900,7179,9758,0,12216,
7383,9342,0,9495,2920,9296,7533,9920,
2792,6251,7233,6106,0,6241,2856,9405,
0,1931,3176,2126,7459,2057,0,6060,
7479,347,0,329,3112,311,7309,2000,
2984,15125,7329,15274,0,15399,3048,365,
255944,76614,0,0,8416,186826,150289,13534,
31680,94403,54823,186530,0,0,203384,225297,
0,135338,4832,160791,147975,250482,0,233562,
238704,196664,0,119455,204888,101897,62191,201332,
114056,197822,255105,160990,0,59150,211304,37226,
0,26335,146976,137582,117489,3871,0,47888,
255944,173828,0,117925,8416,47090,150289,175756,
31680,92088,54823,107288,0,84704,203384,187018,
1660,4927,0,0,9183,14001,1717,4630,
9183,8914,1603,8703,0,0,11063,5098,
0,10650,13246,10816,1690,10518,0,9101,
1592,8442,0,8728,12954,8870,1633,10212,
5070,12581,1551,12263,0,12393,406,8748,
0,13081,5389,12752,1614,12383,0,12899,
1660,67,0,63,9183,59,1717,12602,
9183,5015,1603,4928,0,4801,11063,71,
241373,187991,0,0,257982,72153,184021,61028,
188289,6190,117414,61067,0,0,97795,135984,
0,42459,89282,2154,212202,145284,0,12789,
80110,57468,0,239938,232752,256850,215987,138505,
259984,145676,200919,40415,0,217541,196921,134924,
0,227673,106318,219646,560,212689,0,177363,
241373,31111,0,45882,257982,47472,184021,148936,
188289,162151,117414,83942,0,33525,97795,36580,
