0,0,13,1,1,1,0,0,14,1,1,1,0,0,15,
1,1,27,0,0,11,1,1,28,0,0,12,1,1,29,
0,0,41,1,1,25,0,0,42,1,1,26,0,0,43,
1,1,55,0,0,39,1,1,56,0,0,40,1,1,57,
0,0,69,1,1,53,0,0,70,1,1,54,0,0,71,
1,1,83,0,0,67,1,1,84,0,0,68,1,1,85,
0,0,97,1,1,81,0,0,98,1,1,82,0,0,99,
1,1,111,0,0,95,1,1,112,0,0,96,1,1,113,
0,0,125,1,1,109,0,0,126,1,1,110,0,0,127,
1,1,139,0,0,123,1,1,140,0,0,124,1,1,141,
0,0,153,1,1,137,0,0,154,1,1,138,0,0,155,
1,1,167,0,0,151,1,1,168,0,0,152,1,1,169,
0,0,181,1,1,180,0,0,182,1,1,166,0,0,183,
1,1,210,0,0,194,1,1,196,0,0,195,1,1,197,
0,0,224,1,1,208,0,0,225,1,1,209,0,0,211,
47445,13286,66388,0,0,96255,52620,12326,167685,0,0,118485,57795,253935,196212,
0,0,159952,37095,20606,45856,0,0,108328,42270,12221,110857,0,0,218025,
45195,1886,98371,0,0,78071,50370,22526,174172,0,0,87751,55545,1991,111793,
0,0,89021,34845,220500,19586,0,0,81541,40020,201990,97271,0,0,160942,
22890,233925,6386,0,0,15077,27870,193620,92471,0,0,8936,33045,248460,80011,
0,0,228456,19095,14456,208927,0,0,1586,21090,24716,15332,0,0,90071,
47445,13286,177337,0,0,174949,52620,12326,251886,0,0,158707,57795,253935,22211,
0,0,224044,37095,20606,159301,0,0,203392,42270,12221,197584,0,0,24197,
45195,1886,180271,0,0,164969,50370,22526,229354,0,0,178561,55545,1991,204697,
0,0,158324,34845,220500,117512,0,0,168256,40020,201990,168509,0,0,220939,
22890,233925,78617,0,0,70091,27870,193620,134414,0,0,104927,33045,248460,142516,
0,0,50981,19095,14456,5145,0,0,90107,21090,24716,43436,0,0,151904,
47445,13286,10635,0,0,215547,52620,12326,58526,0,0,7890,57795,253935,101597,
0,0,219942,37095,20606,257415,0,0,13380,42270,12221,220557,0,0,66071,
45195,1886,212295,0,0,167458,50370,22526,203352,0,0,4211,55545,1991,16125,
126735,150042,65066,0,0,107578,53702,106087,212278,0,0,145451,78350,30364,145544,
0,0,137534,69594,95632,141826,0,0,141265,90012,209306,189043,0,0,180834,
168436,209459,135466,0,0,132557,209503,24770,164721,0,0,204539,109584,201256,86881,
0,0,67491,252361,234000,136869,0,0,130981,68124,229483,197481,0,0,232972,
86437,250367,231844,0,0,164611,138187,180373,113529,0,0,5170,9535,48303,91382,
0,0,143591,98745,134955,151614,0,0,134100,221440,251448,146377,0,0,113291,
126735,150042,87326,0,0,41876,53702,106087,16432,0,0,12144,78350,30364,202720,
0,0,261927,69594,95632,106929,0,0,216648,90012,209306,82541,0,0,21072,
168436,209459,16032,0,0,2387,209503,24770,67710,0,0,65951,109584,201256,71243,
0,0,47572,252361,234000,202078,0,0,107963,68124,229483,140592,0,0,117147,
86437,250367,175160,0,0,95092,138187,180373,11347,0,0,168567,9535,48303,228472,
0,0,200415,98745,134955,72935,0,0,47829,221440,251448,100579,0,0,60206,
126735,150042,118689,0,0,66641,53702,106087,207918,0,0,108076,78350,30364,44713,
0,0,192041,69594,95632,188720,0,0,210850,90012,209306,246425,0,0,51300,
168436,209459,159286,0,0,220383,209503,24770,45521,0,0,174263,109584,201256,214285,
134413,20664,69832,0,0,14775,150508,31254,131649,0,0,32805,166603,3369,186888,
0,0,47014,102223,23784,240002,0,0,90352,118318,26949,29419,0,0,156789,
102763,17664,255977,0,0,211695,118858,2604,48634,0,0,254177,134953,236863,91297,
0,0,210045,70573,232078,170010,0,0,249227,86668,234568,215145,0,0,41704,
72506,203951,180120,0,0,134799,85858,182098,226095,0,0,166290,101953,220138,5083,
0,0,130134,132523,18684,111655,0,0,163350,103886,261086,147654,0,0,207945,
134413,20664,103375,0,0,75325,150508,31254,137814,0,0,96715,166603,3369,172005,
0,0,92920,102223,23784,57577,0,0,117460,118318,26949,82210,0,0,156519,
102763,17664,64057,0,0,43883,118858,2604,91930,0,0,64867,134953,236863,116245,
0,0,40388,70573,232078,25616,0,0,58972,86668,234568,44273,0,0,86665,
72506,203951,16331,0,0,11543,85858,182098,32228,0,0,23111,101953,220138,49612,
0,0,8183,132523,18684,567,0,0,19001,103886,261086,6938,0,0,37118,
