11,1,1,1,0,0,12,1,1,1,0,0,13,
23,9,1,1,1,0,24,10,1,1,1,0,25,
35,21,7,1,1,1,36,22,8,1,1,1,37,
47,33,19,5,1,1,48,34,20,6,1,1,49,
59,45,31,17,3,1,60,46,32,18,4,1,61,
71,57,43,29,15,1,72,58,44,30,16,2,73,
83,69,55,41,27,26,84,70,56,42,28,14,85,
95,81,67,53,52,38,96,82,68,54,40,39,97,
107,93,79,78,64,50,108,94,80,66,65,51,109,
119,105,104,90,76,62,120,106,92,91,77,63,121,
131,130,116,102,88,74,132,118,117,103,89,75,133,
156,142,128,114,100,86,144,143,129,115,101,87,145,
168,154,140,126,112,98,169,155,141,127,113,99,157,
27829,0,0,63957,81516,87178,31351,0,0,74305,81243,76674,10452,
28499,21037,0,0,74188,71584,32483,24391,0,0,66622,71142,36551,
28161,20783,14581,0,0,66674,32607,24599,17767,0,0,77022,37137,
7887,19521,28691,21201,0,0,10429,23799,17051,24570,0,0,13055,
7899,22737,28351,20945,14715,0,10903,5429,32812,24776,17916,0,13991,
30979,23671,17539,19681,13535,8565,10369,26858,20096,23974,17198,11598,13919,
30821,23597,17549,12677,11347,14001,35100,27246,20568,15066,15472,9956,12839,
29655,22515,16551,11763,18902,41751,34396,26626,20032,14614,10372,17550,39221,
7201,20425,14545,26000,23759,15765,10038,24998,18488,13154,22451,18559,12959,
6385,1779,33098,34159,25073,17163,9684,4448,15936,29549,28959,20419,13067,
4561,24817,31546,34381,25379,17553,8322,3170,21268,39359,29727,21271,12167,
31915,41946,33042,25314,24677,16935,5952,28366,36746,28388,29487,21115,10259,
52346,42350,33530,25886,19418,15309,35464,47146,37696,29422,22324,19951,7343,
41447,0,0,50985,149567,144355,213796,0,0,200064,250907,34649,147820,
105143,225193,0,0,121479,58271,150822,94166,0,0,133430,252673,98337,
142079,113573,155547,0,0,93959,116120,183636,161800,0,0,103006,260197,
84637,137481,189751,110921,0,0,47330,65346,146514,163318,0,0,16595,
108899,255235,13171,181045,247415,0,36410,117932,216184,62046,13394,0,5773,
45957,145273,240401,58921,229975,94901,99866,19524,194148,86552,153168,15968,250327,
102379,51415,200659,84935,182575,204022,254046,96398,145908,32762,181838,138738,70897,
248525,138965,250805,168029,97427,245022,53504,80874,106412,36798,124192,260224,18335,
194663,217931,189455,209831,241326,3016,181472,44718,3924,211866,153629,94641,207109,
187961,33049,29333,165600,221766,27572,100416,236098,233292,235275,125867,112391,86979,
120723,167631,139472,308,75902,226360,139824,76886,111429,50141,153077,38549,6169,
143633,170698,208104,806,45670,176468,7396,223833,24013,98729,86879,87227,150267,
195176,36858,22760,171202,199716,61864,199835,48491,55335,11783,212759,128241,51233,
31165,0,0,80289,135708,149530,34747,0,0,93289,130599,142146,34500,
32555,24253,0,0,83188,125308,36599,27667,0,0,92470,118002,40727,
32937,24719,17677,0,0,84566,37443,28595,20923,0,0,97566,42033,
15411,24177,19247,13101,0,0,18013,28515,20927,16374,0,0,20699,
16143,12825,17755,11693,6807,0,19207,12893,22120,15428,9912,0,22355,
18571,12607,7819,9277,4475,849,19393,15698,10280,13474,8042,3786,23003,
17261,11381,6677,3149,1135,40857,21444,14934,9600,5442,5164,992,22643,
14943,9147,4527,1083,27038,46707,19588,13162,7912,3838,940,47214,24317,
5533,5905,1369,39752,32303,23469,8274,10382,5216,1226,33395,26323,11099,
3565,303,52466,44263,34337,25587,6768,2876,1512,46109,38283,28903,10055,
589,37633,31042,45205,35363,26697,4254,446,31276,50243,39771,30475,8003,
50347,43002,33258,24690,35381,26799,732,43990,37022,27824,40251,31039,4943,
54962,44126,34466,25982,18674,25893,56704,48982,38692,29578,21640,30595,875,
195871,0,0,112805,223319,139991,73096,0,0,94964,53007,261229,171136,
103023,176265,0,0,73007,74075,28218,144058,0,0,239758,135261,60469,
177015,107413,188259,0,0,7171,61988,45568,19764,0,0,44418,122709,
24153,105545,248463,148297,0,0,14370,195062,15830,101066,0,0,16871,
125351,166399,201563,141141,76719,0,111802,35636,133716,43858,214758,0,145817,
199049,10029,206709,82857,111359,193381,215066,51652,114468,67524,79788,247884,199451,
143983,59475,36367,107939,257159,224806,86430,167734,133092,33298,236978,225270,162101,
5241,81569,97033,189793,198923,47842,39544,78858,39436,233558,157904,16332,233827,
187179,5007,248163,44119,2294,42240,211832,84638,141532,221682,252593,14921,1409,
42485,176741,98393,32196,231222,237980,190248,179010,17908,44723,251811,136731,138215,
240519,24539,83204,84388,229894,15120,168104,208630,233013,19569,252041,196945,193317,
172013,57950,212448,79366,171262,195508,129772,78209,70577,117957,188859,39815,34671,
213788,221050,259440,225666,151932,251816,225683,226415,44795,38331,94219,21013,161661,
45841,0,0,85186,93627,92977,55843,0,0,85820,93580,92143,34320,
37247,29113,0,0,84919,92915,46199,36931,0,0,85553,92855,56243,
29661,22619,16753,0,0,84665,37563,29387,22387,0,0,85299,46557,
21627,17133,38723,30393,0,0,28297,22851,16943,38406,0,0,36059,
16239,38265,30943,23705,17643,0,21859,16049,39040,30668,23472,0,28571,
38899,30583,23443,18025,13055,9261,16429,38582,30308,23938,17834,12906,22091,
31133,23909,17861,12989,9475,34593,39216,30858,23676,17670,13204,9368,16619,
24375,18243,13287,9507,34970,56643,31408,24142,18052,13138,9400,34866,39533,
